SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
J218;;;;Bronquiolite aguda devida a outros microorganismos especificados;J21.8 Bronquiolite aguda dev outr microorg espec;;;
J219;;;;Bronquite aguda não especificada;J21.9 Bronquite aguda NE;;;
J22;;;;Infecções agudas não especificada das vias aéreas inferiores;J22   Infecc agudas NE das vias aereas infer;;;
J300;;;N;Rinite vasomotora;J30.0 Rinite vasomotora;;;
J301;;;N;Rinite alérgica devida a pólen;J30.1 Rinite alergica dev polen;;;
J302;;;N;Outras rinites alérgicas sazonais;J30.2 Outr rinites alergicas sazonais;;;
J303;;;N;Outras rinites alérgicas;J30.3 Outr rinites alergicas;;;
J304;;;N;Rinite alérgica não especificada;J30.4 Rinite alergica NE;;;
J310;;;;Rinite crônica;J31.0 Rinite cronica;;;
J311;;;;Nasofaringite crônica;J31.1 Nasofaringite cronica;;;
J312;;;;Faringite crônica;J31.2 Faringite cronica;;;
J320;;;;Sinusite maxilar crônica;J32.0 Sinusite maxilar cronica;;;
J321;;;;Sinusite frontal crônica;J32.1 Sinusite frontal cronica;;;
J322;;;;Sinusite etmoidal crônica;J32.2 Sinusite etmoidal cronica;;;
J323;;;;Sinusite esfenoidal crônica;J32.3 Sinusite esfenoidal cronica;;;
J324;;;;Pansinusite crônica;J32.4 Pansinusite cronica;;;
J328;;;;Outras sinusites crônicas;J32.8 Outr sinusites cronicas;;;
J329;;;;Sinusite crônica não especificada;J32.9 Sinusite cronica NE;;;
J330;;;N;Pólipo da cavidade nasal;J33.0 Polipo da cavidade nasal;;;
J331;;;N;Degeneração polipóide do seio paranasal;J33.1 Degeneracao polipoide do seio paranasal;;;
J338;;;N;Outros pólipos do seio paranasal;J33.8 Outr polipos do seio paranasal;;;
J339;;;N;Pólipo nasal não especificado;J33.9 Polipo nasal NE;;;
J340;;;;Abscesso, furúnculo e antraz do nariz;J34.0 Abscesso furunculo e antraz do nariz;;;
J341;;;;Cisto e mucocele do nariz e do seio paranasal;J34.1 Cisto e mucocele do nariz e seio paranasal;;;
J342;;;N;Desvio do septo nasal;J34.2 Desvio do septo nasal;;;
J343;;;;Hipertrofia dos cornetos nasais;J34.3 Hipertrofia dos cornetos nasais;;;
J348;;;;Outros transtornos especificados do nariz e dos seios paranasais;J34.8 Outr transt espec nariz e seios paranasais;;;
J350;;;N;Amigdalite crônica;J35.0 Amigdalite cronica;;;
J351;;;N;Hipertrofia das amígdalas;J35.1 Hipertrofia das amigdalas;;;
J352;;;N;Hipertrofia das adenóides;J35.2 Hipertrofia das adenoides;;;
J353;;;N;Hipertrofia das amígdalas com hipertrofia das adenóides;J35.3 Hipertrofia amigdalas c/hipertrof adenoides;;;
J358;;;N;Outras doenças crônicas das amígdalas e das adenóides;J35.8 Outr doenc cronicas amigdalas e adenoides;;;
J359;;;N;Doenças das amígdalas e das adenóides não especificadas;J35.9 Doenc das amigdalas e das adenoides NE;;;
J36;;;;Abscesso periamigdaliano;J36   Abscesso periamigdaliano;;;
J370;;;;Laringite crônica;J37.0 Laringite cronica;;;
J371;;;;Laringotraqueíte crônica;J37.1 Laringotraqueite cronica;;;
J380;;;;Paralisia das cordas vocais e da laringe;J38.0 Paralisia das cordas vocais e da laringe;;;
J381;;;;Pólipo das cordas vocais e da laringe;J38.1 Polipo das cordas vocais e da laringe;;;
J382;;;;Nódulos das cordas vocais;J38.2 Nodulos das cordas vocais;;;
J383;;;;Outras doenças das cordas vocais;J38.3 Outr doenc das cordas vocais;;;
J384;;;;Edema da laringe;J38.4 Edema da laringe;;;
J385;;;;Espasmo da laringe;J38.5 Espasmo da laringe;;;
J386;;;;Estenose da laringe;J38.6 Estenose da laringe;;;
J387;;;;Outras doenças da laringe;J38.7 Outr doenc da laringe;;;
J390;;;;Abscesso retrofaríngeo e parafaríngeo;J39.0 Abscesso retrofaringeo e parafaringeo;;;
J391;;;;Outros abscessos da faringe;J39.1 Outr abscessos da faringe;;;
J392;;;;Outras doenças da faringe;J39.2 Outr doenc da faringe;;;
J393;;;;Reação de hipersensibilidade das vias aéreas superiores de localização não especificada;J39.3 Reacao hipersensib vias aereas super loc NE;;;
J398;;;;Outras doenças especificadas das vias aéreas superiores;J39.8 Outr doenc espec das vias aereas super;;;
J399;;;;Doença não especificada das vias aéreas superiores;J39.9 Doenc NE das vias aereas super;;;
J40;;;;Bronquite não especificada como aguda ou crônica;J40   Bronquite NE como aguda ou cronica;;;
J410;;;;Bronquite crônica simples;J41.0 Bronquite cronica simples;;;
J411;;;;Bronquite crônica mucopurulenta;J41.1 Bronquite cronica mucopurulenta;;;
J418;;;;Bronquite crônica mista, simples e mucopurulenta;J41.8 Bronquite cron mista simples e mucopurulenta;;;
J42;;;;Bronquite crônica não especificada;J42   Bronquite cronica NE;;;
J430;;;;Síndrome de MacLeod;J43.0 Sindr de MacLeod;;;
J431;;;;Enfisema panlobular;J43.1 Enfisema panlobular;;;
J432;;;;Enfisema centrolobular;J43.2 Enfisema centrolobular;;;
J438;;;;Outras formas de enfisema;J43.8 Outr form de enfisema;;;
J439;;;;Enfisema não especificado;J43.9 Enfisema NE;;;
J440;;;;Doença pulmonar obstrutiva crônica com infecção respiratória aguda do trato respiratório inferior;J44.0 Doen pulm obs cron c/inf resp ag tr resp inf;;;
J441;;;;Doença pulmonar obstrutiva crônica com exacerbação aguda não especificada;J44.1 Doenc pulmonar obstr cron c/exacerb aguda NE;;;
J448;;;;Outras formas especificadas de doença pulmonar obstrutiva crônica;J44.8 Outr form espec doenc pulmonar obstrut cron;;;
J449;;;;Doença pulmonar obstrutiva crônica não especificada;J44.9 Doenc pulmonar obstrutiva cronica NE;;;
J450;;;;Asma predominantemente alérgica;J45.0 Asma predom alergica;;;
J451;;;;Asma não-alérgica;J45.1 Asma nao-alergica;;;
J458;;;;Asma mista;J45.8 Asma mista;;;
J459;;;;Asma não especificada;J45.9 Asma NE;;;
J46;;;;Estado de mal asmático;J46   Estado de mal asmatico;;;
J47;;;;Bronquectasia;J47   Bronquectasia;;;
J60;;;;Pneumoconiose dos mineiros de carvão;J60   Pneumoconiose dos mineiros de carvao;;;
J61;;;;Pneumoconiose devida a amianto [asbesto] e outras fibras minerais;J61   Pneumoconiose dev amianto outr fibr minerais;;;
J620;;;;Pneumoconiose devida a pó de talco;J62.0 Pneumoconiose dev po de talco;;;
J628;;;;Pneumoconiose devida a outras poeiras que contenham sílica;J62.8 Pneumoconiose dev outr poeiras q cont silica;;;
J630;;;;Aluminose (do pulmão);J63.0 Aluminose;;;
J631;;;;Fibrose (do pulmão) causada por bauxita;J63.1 Fibrose causada p/bauxita;;;
J632;;;;Beriliose;J63.2 Beriliose;;;
J633;;;;Fibrose (do pulmão) causada por grafite;J63.3 Fibrose causada p/grafite;;;
J634;;;;Siderose;J63.4 Siderose;;;
J635;;;;Estanose;J63.5 Estanose;;;
J638;;;;Pneumoconiose devida a outras poeira inorgânicas especificados;J63.8 Pneumoconiose dev outr poeira inorg espec;;;
J64;;;;Pneumoconiose não especificada;J64   Pneumoconiose NE;;;
J65;;;;Pneumoconiose associada com tuberculose;J65   Pneumoconiose assoc c/tuberc;;;
J660;;;;Bissinose;J66.0 Bissinose;;;
J661;;;;Doença dos cardadores de linho;J66.1 Doenc dos cardadores de linho;;;
J662;;;;Canabinose;J66.2 Canabinose;;;
J668;;;;Doenças das vias aéreas devida a outras poeiras orgânicas específicas;J66.8 Doenc vias aereas dev outr poeiras org espec;;;
J670;;;;Pulmão de fazendeiro;J67.0 Pulmao de fazendeiro;;;
J671;;;;Bagaçose;J67.1 Bagacose;;;
J672;;;;Pulmão dos criadores de pássaros;J67.2 Pulmao dos criadores de passaros;;;
J673;;;;Suberose;J67.3 Suberose;;;
J674;;;;Pulmão dos trabalhadores do malte;J67.4 Pulmao dos trabalhadores do malte;;;
J675;;;;Pulmão dos que trabalham com cogumelos;J67.5 Pulmao dos que trabalham c/cogumelos;;;
J676;;;;Pulmão dos cortadores de casca do bordo;J67.6 Pulmao dos cortadores de casca do bordo;;;
J677;;;;Doença pulmonar devida aos sistemas de ar condicionado e de umidificação do ar;J67.7 Doenc pulmonar dev sist ar cond umidif ar;;;
J678;;;;Pneumonites de hipersensibilidade, devidas a outras poeiras orgânicas;J67.8 Pneumonites hipersens dev outr poeiras org;;;
J679;;;;Pneumonite de hipersensibilidade devida a poeira orgânica não especificada;J67.9 Pneumonite hipersensibilid dev poeira org NE;;;
J680;;;;Bronquite e pneumonite devida a produtos químicos, gases, fumaças e vapores;J68.0 Bronquit pneumon dev prod quim gas fumac vap;;;
J681;;;;Edema pulmonar devido a produtos químicos, gases, fumaças e vapores;J68.1 Edema pulm dev prod quim gas fumac vap;;;
J682;;;;Inflamação das vias aéreas superiores devida a produtos químicos, gases, fumaças e vapores, não classificada em outra parte;J68.2 Infl via aer sup dev pr qui gas fum vap NCOP;;;
J683;;;;Outras afecções respiratórias agudas e subagudas devidas a produtos químicos, gases, fumaças e vapores;J68.3 Out af resp ag subag dev pro qui gas fum vap;;;
J684;;;;Afecções respiratórias crônicas devidas a produtos químicos, gases, fumaças e vapores;J68.4 Afecc resp cron dev prod quim gas fum vap;;;
J688;;;;Outras afecções respiratórias devida a produtos químicos, gases, fumaças e vapores;J68.8 Outr afecc resp dev prod quim gas fum vap;;;
J689;;;;Afecção respiratória não especificada devida a produtos químicos, gases, fumaça e vapores;J68.9 Afecc resp NE dev prod quim gases fumac vap;;;
J690;;;;Pneumonite devida a alimento ou vômito;J69.0 Pneumonite dev alimento ou vomito;;;
J691;;;;Pneumonite devida a óleos e essências;J69.1 Pneumonite dev oleos e essencias;;;
J698;;;;Pneumonite devida a outros sólidos e líquidos;J69.8 Pneumonite dev outr solidos e liquidos;;;
J700;;;;Manifestações pulmonares agudas devidas à radiação;J70.0 Manifestacoes pulmonares agudas dev radiacao;;;
J701;;;;Manifestações pulmonares crônicas e outras, devidas a radiação;J70.1 Manif pulmonares cron e outr dev radiacao;;;
J702;;;;Transtornos pulmonares intersticiais agudos, induzidos por droga;J70.2 Transt pulm interstic agudos induz p/droga;;;
J703;;;;Transtornos pulmonares intersticiais crônicos induzidos por droga;J70.3 Transt pulm interstic cronicos induz p/droga;;;
J704;;;;Transtornos pulmonar intersticial não especificado induzido por droga;J70.4 Transt pulm intersticial NE induz p/droga;;;
J708;;;;Afecções respiratórias devidas a outros agentes externos especificados;J70.8 Afecc respirat dev outr agent externos espec;;;
J709;;;;Afecções respiratórias devidas a agentes externos não especificados;J70.9 Afeccoes respirat dev agentes externos NE;;;
J80;;;;Síndrome do desconforto respiratório do adulto;J80   Sindr do desconforto respirat do adulto;;;
J81;;;;Edema pulmonar, não especificado de outra forma;J81   Edema pulmonar NE de outr form;;;
J82;;;;Eosinofilia pulmonar, não classificada em outra parte;J82   Eosinofilia pulmonar NCOP;;;
J840;;;;Afecções alveolares e parieto-alveolares;J84.0 Afeccoes alveolares e parieto-alveolares;;;
J841;;;;Outras doenças pulmonares intersticiais com fibrose;J84.1 Outr doenc pulm intersticiais c/fibrose;;;
J848;;;;Outras doenças pulmonares intersticiais especificadas;J84.8 Outr doenc pulmonares intersticiais espec;;;
J849;;;;Doença pulmonar intersticial não especificadas;J84.9 Doenc pulmonar intersticial NE;;;
J850;;;;Gangrena e necrose do pulmão;J85.0 Gangrena e necrose do pulmao;;;
J851;;;;Abscesso do pulmão com pneumonia;J85.1 Abscesso do pulmao c/pneumonia;;;
J852;;;;Abscesso do pulmão sem pneumonia;J85.2 Abscesso do pulmao s/pneumonia;;;
J853;;;;Abscesso do mediastino;J85.3 Abscesso do mediastino;;;
J860;;;;Piotórax com fístula;J86.0 Piotorax c/fistula;;;
J869;;;;Piotórax sem fístula;J86.9 Piotorax s/fistula;;;
J90;;;;Derrame pleural não classificado em outra parte;J90   Derrame pleural NCOP;;;
J91;*;;;Derrame pleural em afecções classificadas em outra parte;J91   Derrame pleural em afeccoes COP;;;
J920;;;;Placas pleurais com presença de amianto [asbesto];J92.0 Placas pleurais c/presenca de amianto;;;
J929;;;;Placas pleurais sem presença de amianto [asbesto];J92.9 Placas pleurais cem presenca de amianto;;;
J930;;;;Pneumotórax de tensão, espontâneo;J93.0 Pneumotorax de tensao espontaneo;;;
J931;;;;Outras formas de pneumotórax espontâneo;J93.1 Outr form de pneumotorax espontaneo;;;
J938;;;;Outros tipos de pneumotórax, especificados;J93.8 Outr tipos de pneumotorax espec;;;
J939;;;;Pneumotórax não especificado;J93.9 Pneumotorax NE;;;
J940;;;;Derrame quiloso ou quiliforme;J94.0 Derrame quiloso ou quiliforme;;;
J941;;;;Fibrotórax;J94.1 Fibrotorax;;;
J942;;;;Hemotórax;J94.2 Hemotorax;;;
J948;;;;Outras afecções pleurais especificadas;J94.8 Outr afeccoes pleurais espec;;;
J949;;;;Afecção pleural não especificada;J94.9 Afeccao pleural NE;;;
J950;;;;Mau funcionamento de traqueostomia;J95.0 Mau funcionamento de traqueostomia;;;
J951;;;;Insuficiência pulmonar aguda subsequente a cirurgia torácica;J95.1 Insuf pulmonar aguda subseq cirurg toracica;;;
J952;;;;Insuficiência pulmonar aguda subsequente a cirurgia não torácica;J95.2 Insuf pulm aguda subseq cirurg nao toracica;;;
J953;;;;Insuficiência pulmonar crônica pós-cirúrgica;J95.3 Insuf pulmonar cronica pos-cirurgica;;;
J954;;;;Síndrome de Mendelson;J95.4 Sindr de Mendelson;;;
J955;;;;Estenose subglótica pós-procedimento;J95.5 Estenose subglotica pos-proced;;;
J958;;;;Outros transtornos respiratórios pós-procedimentos;J95.8 Outr transt respirat pos-proced;;;
J959;;;;Transtornos respiratórios pós-procedimentos não especificados;J95.9 Transt respirat pos-proced NE;;;
J960;;;;Insuficiência respiratória aguda;J96.0 Insuf respirat aguda;;;
J961;;;;Insuficiência respiratória crônica;J96.1 Insuf respirat cronica;;;
J969;;;;Insuficiência respiratória não especificada;J96.9 Insuf respirat NE;;;
J980;;;;Outras doenças dos brônquios não classificadas em outra parte;J98.0 Outr doenc dos bronquios NCOP;;;
J981;;;;Colapso pulmonar;J98.1 Colapso pulmonar;;;
J982;;;;Enfisema intersticial;J98.2 Enfisema intersticial;;;
J983;;;;Enfisema compensatório;J98.3 Enfisema compensatorio;;;
J984;;;;Outros transtornos pulmonares;J98.4 Outr transt pulmonares;;;
J985;;;;Doenças do mediastino não classificadas em outra parte;J98.5 Doenc do mediastino NCOP;;;
J986;;;;Transtornos do diafragma;J98.6 Transt do diafragma;;;
J988;;;;Outros transtornos respiratórios especificados;J98.8 Outr transt respirat espec;;;
J989;;;;Transtorno respiratório não especificados;J98.9 Transt respirat NE;;;
J990;*;;;Doença pulmonar reumatóide;J99.0 Doenc pulmonar reumatoide;M05.1+;;
J991;*;;;Transtornos respiratórios em outras doenças sistêmicas do tecido conjuntivo classificadas em outra parte;J99.1 Transt respirat outr doenc sist tec conj COP;;;
J998;*;;;Transtornos respiratórios em outras doenças classificadas em outra parte;J99.8 Transt respirat em outr doenc COP;;;
K000;;;N;Anodontia;K00.0 Anodontia;;;
K001;;;N;Dentes supranumerários;K00.1 Dentes supranumerarios;;;
K002;;;N;Anomalias do tamanho e da forma dos dentes;K00.2 Anomalias do tamanho e da form dos dentes;;;
K003;;;N;Dentes manchados;K00.3 Dentes manchados;;;
K004;;;N;Distúrbios na formação dos dentes;K00.4 Disturbios na formacao dos dentes;;;
K005;;;N;Anomalias hereditárias da estrutura dentária não classificadas em outra parte;K00.5 Anomalias hereditarias estrut dentaria NCOP;;;
K006;;;N;Distúrbios da erupção dentária;K00.6 Disturbios da erupcao dentaria;;;
K007;;;N;Síndrome da erupção dentária;K00.7 Sindr da erupcao dentaria;;;
K008;;;N;Outros distúrbios do desenvolvimento dos dentes;K00.8 Outr disturbios do desenvolv dos dentes;;;
K009;;;N;Distúrbio não especificado do desenvolvimento dentário;K00.9 Disturbio NE do desenvolv dentario;;;
K010;;;N;Dentes inclusos;K01.0 Dentes inclusos;;;
K011;;;N;Dentes impactados;K01.1 Dentes impactados;;;
K020;;;N;Cáries limitadas ao esmalte;K02.0 Caries limitadas ao esmalte;;;
K021;;;N;Cáries da dentina;K02.1 Caries da dentina;;;
K022;;;N;Cárie do cemento;K02.2 Carie do cemento;;;
K023;;;N;Cáries dentárias estáveis;K02.3 Caries dentarias estaveis;;;
K024;;;N;Odontoclasia;K02.4 Odontoclasia;;;
K028;;;N;Outras cáries dentárias;K02.8 Outr caries dentarias;;;
K029;;;N;Cárie dentária, sem outra especificação;K02.9 Carie dentaria SOE;;;
K030;;;N;Atrito dentário excessivo;K03.0 Atrito dentario excessivo;;;
K031;;;N;Abrasão dentária;K03.1 Abrasao dentaria;;;
K032;;;N;Erosão dentária;K03.2 Erosao dentaria;;;
K033;;;N;Reabsorção patológica dos dentes;K03.3 Reabsorcao patologica dos dentes;;;
K034;;;N;Hipercementose;K03.4 Hipercementose;;;
K035;;;N;Ancilose dentária;K03.5 Ancilose dentaria;;;
K036;;;N;Depósitos nos dentes;K03.6 Depositos nos dentes;;;
K037;;;N;Alterações pós-eruptivas da cor dos tecidos duros dos dentes;K03.7 Alterac pos-eruptivas cor tec duros dentes;;;
K038;;;N;Outras doenças especificadas dos tecidos duros dos dentes;K03.8 Outr doenc espec dos tec duros dos dentes;;;
K039;;;N;Doença dos tecidos duros dos dentes, não especificada;K03.9 Doenc dos tec duros dos dentes NE;;;
K040;;;N;Pulpite;K04.0 Pulpite;;;
K041;;;N;Necrose da polpa;K04.1 Necrose da polpa;;;
K042;;;N;Degeneração da polpa;K04.2 Degeneracao da polpa;;;
K043;;;N;Formação anormal de tecidos duros na polpa;K04.3 Formacao anormal de tec duros na polpa;;;
K044;;;N;Periodontite apical aguda de origem pulpar;K04.4 Periodontite apical aguda orig pulpar;;;
K045;;;N;Periodontite apical crônica;K04.5 Periodontite apical cronica;;;
K046;;;N;Abscesso periapical com fístula;K04.6 Abscesso periapical c/fistula;;;
K047;;;N;Abscesso periapical sem fístula;K04.7 Abscesso periapical s/fistula;;;
K048;;;N;Cisto radicular;K04.8 Cisto radicular;;;
K049;;;N;Outras doenças da polpa e dos tecidos periapicais e as não especificadas;K04.9 Outr doenc da polpa e tec periapicais e NE;;;
K050;;;N;Gengivite aguda;K05.0 Gengivite aguda;;;
K051;;;N;Gengivite crônica;K05.1 Gengivite cronica;;;
K052;;;N;Periodontite aguda;K05.2 Periodontite aguda;;;
K053;;;N;Periodontite crônica;K05.3 Periodontite cronica;;;
K054;;;N;Periodontose;K05.4 Periodontose;;;
K055;;;N;Outras doenças periodontais;K05.5 Outr doenc periodontais;;;
K056;;;N;Doença periodontal, sem outra especificação;K05.6 Doenc periodontal SOE;;;
K060;;;N;Retração gengival;K06.0 Retracao gengival;;;
K061;;;N;Hiperplasia gengival;K06.1 Hiperplasia gengival;;;
K062;;;N;Lesões da gengiva e do rebordo alveolar sem dentes, associadas a traumatismos;K06.2 Lesoes geng rebord alveol s/dent assoc traum;;;
K068;;;N;Outros transtornos especificados da gengiva e do rebordo alveolar sem dentes;K06.8 Outr transt espec geng rebord alveol s/dent;;;
K069;;;N;Transtorno da gengiva e do rebordo alveolar sem dentes sem outra especificação;K06.9 Transt gengiva rebordo alveolar s/dentes SOE;;;
K070;;;N;Anomalias importantes (major) do tamanho da mandíbula;K07.0 Anomalias importantes tamanho da mandibula;;;
K071;;;N;Anomalias da relação entre a mandíbula com a base do crânio;K07.1 Anomalias relacao entre mandibula base cran;;;
K072;;;N;Anomalias da relação entre as arcadas dentárias;K07.2 Anomalias relacao entre as arcadas dentarias;;;
K073;;;N;Anomalias da posição dos dentes;K07.3 Anomalias da posicao dos dentes;;;
K074;;;N;Maloclusão, não especificada;K07.4 Maloclusao NE;;;
K075;;;N;Anormalidades dentofaciais funcionais;K07.5 Anormalidades dentofaciais funcionais;;;
K076;;;N;Transtornos da articulação temporomandibular;K07.6 Transt da articulacao temporomandibular;;;
K078;;;N;Outras anomalias dentofaciais;K07.8 Outr anomalias dentofaciais;;;
K079;;;N;Anomalia dentofacial, sem outra especificação;K07.9 Anomalia dentofacial SOE;;;
K080;;;N;Exfoliação dos dentes devida a causas sistêmicas;K08.0 Exfoliacao dos dentes dev causas sistemicas;;;
K081;;;N;Perda de dentes devida a acidente, extração ou a doenças periodontais localizadas;K08.1 Perda dent dev acid extr doenc periodont loc;;;
K082;;;N;Atrofia do rebordo alveolar sem dentes;K08.2 Atrofia do rebordo alveolar s/dentes;;;
K083;;;N;Raiz dentária retida;K08.3 Raiz dentaria retida;;;
K088;;;N;Outros transtornos especificados dos dentes e das estruturas de sustentação;K08.8 Outr transt espec dentes estrut sustentacao;;;
K089;;;N;Transtorno dos dentes e de suas estruturas de sustentação, sem outra especificação;K08.9 Transt dentes estruturas sustentacao SOE;;;
K090;;;N;Cistos odontogênicos de desenvolvimento;K09.0 Cistos odontogenicos de desenvolv;;;
K091;;;N;Cistos de desenvolvimento (não-odontogênicos) da região bucal;K09.1 Cistos de desenvolv da regiao bucal;;;
K092;;;N;Outros cistos das mandíbulas;K09.2 Outr cistos das mandibulas;;;
K098;;;N;Outros cistos da região oral não classificados em outra parte;K09.8 Outr cistos da regiao oral NCOP;;;
K099;;;N;Cistos da região oral, sem outras especificações;K09.9 Cistos da regiao oral SOE;;;
K100;;;N;Transtornos do desenvolvimento dos maxilares;K10.0 Transt do desenvolv dos maxilares;;;
K101;;;N;Granuloma central de células gigantes;K10.1 Granuloma central de celulas gigantes;;;
K102;;;N;Afecções inflamatórias dos maxilares;K10.2 Afeccoes inflam dos maxilares;;;
K103;;;N;Alveolite maxilar;K10.3 Alveolite maxilar;;;
K108;;;N;Outras doenças especificadas dos maxilares;K10.8 Outr doenc espec dos maxilares;;;
K109;;;N;Doença dos maxilares, sem outra especificação;K10.9 Doenc dos maxilares SOE;;;
K110;;;N;Atrofia de glândula salivar;K11.0 Atrofia de gland salivar;;;
K111;;;N;Hipertrofia de glândula salivar;K11.1 Hipertrofia de gland salivar;;;
K112;;;N;Sialadenite;K11.2 Sialadenite;;;
K113;;;N;Abscesso de glândula salivar;K11.3 Abscesso de gland salivar;;;
K114;;;N;Fístula de glândula salivar;K11.4 Fistula de gland salivar;;;
K115;;;N;Sialolitíase;K11.5 Sialolitiase;;;
K116;;;N;Mucocele de glândula salivar;K11.6 Mucocele de gland salivar;;;
K117;;;N;Alterações da secreção salivar;K11.7 Alteracoes da secrecao salivar;;;
K118;;;N;Outras doenças das glândulas salivares;K11.8 Outr doenc das gland salivares;;;
K119;;;N;Doença de glândula salivar, sem outra especificação;K11.9 Doenc de gland salivar SOE;;;
K120;;;;Aftas bucais recidivantes;K12.0 Aftas bucais recidivantes;;;
K121;;;;Outras formas de estomatite;K12.1 Outr form de estomatite;;;
K122;;;;Celulite e abscesso da boca;K12.2 Celulite e abscesso da boca;;;
K130;;;;Doenças dos lábios;K13.0 Doenc dos labios;;;
K131;;;;Mordedura da mucosa das bochechas e dos lábios;K13.1 Mordedura da mucosa das bochechas e labios;;;
K132;;;;Leucoplasia e outras afecções do epitélio oral, inclusive da língua;K13.2 Leucoplas outr afecc epitelio oral incl ling;;;
K133;;;;Leucoplasia pilosa;K13.3 Leucoplasia pilosa;;;
K134;;;;Lesões granulomatosas e granulomatóides da mucosa oral;K13.4 Lesoes granulomat granulomatoid mucosa oral;;;
K135;;;;Fibrose oral submucosa;K13.5 Fibrose oral submucosa;;;
K136;;;;Hiperplasia irritativa da mucosa oral;K13.6 Hiperplasia irritativa da mucosa oral;;;
K137;;;;Outras lesões e as não especificadas da mucosa oral;K13.7 Outr lesoes e as NE da mucosa oral;;;
K140;;;N;Glossite;K14.0 Glossite;;;
K141;;;N;Língua geográfica;K14.1 Lingua geografica;;;
K142;;;N;Glossite rombóide mediana;K14.2 Glossite romboide mediana;;;
K143;;;N;Hipertrofia das papilas linguais;K14.3 Hipertrofia das papilas linguais;;;
K144;;;N;Atrofia das papilas linguais;K14.4 Atrofia das papilas linguais;;;
K145;;;N;Língua escrotal;K14.5 Lingua escrotal;;;
K146;;;N;Glossodínia;K14.6 Glossodinia;;;
K148;;;N;Outras doenças da língua;K14.8 Outr doenc da lingua;;;
K149;;;N;Doença da língua, sem outra especificação;K14.9 Doenc da lingua SOE;;;
K20;;;;Esofagite;K20   Esofagite;;;
K210;;;;Doença de refluxo gastroesofágico com esofagite;K21.0 Doenc de refluxo gastroesofagico c/esofagite;;;
K219;;;;Doença de refluxo gastroesofágico sem esofagite;K21.9 Doenc de refluxo gastroesofagico s/esofagite;;;
K220;;;;Acalásia do cárdia;K22.0 Acalasia do cardia;;;
K221;;;;Úlcera do esôfago;K22.1 Ulcera do esofago;;;
K222;;;;Obstrução do esôfago;K22.2 Obstrucao do esofago;;;
K223;;;;Perfuração do esôfago;K22.3 Perfuracao do esofago;;;
K224;;;;Discinesia do esôfago;K22.4 Discinesia do esofago;;;
K225;;;;Divertículo do esôfago adquirido;K22.5 Diverticulo do esofago adquir;;;
K226;;;;Síndrome da laceração hemorrágica gastroesofágica;K22.6 Sindr laceracao hemorragica gastroesofagica;;;
K227;;;;Esôfago de Barret;K22.7 Esôfago de Barret;;;
K228;;;;Outras doenças especificadas do esôfago;K22.8 Outr doenc espec do esofago;;;
K229;;;;Doença do esôfago, sem outra especificação;K22.9 Doenc do esofago SOE;;;
K230;*;;;Esofagite tuberculosa;K23.0 Esofagite tuberc;A18.8+;;
K231;*;;;Megaesôfago na doença de Chagas;K23.1 Megaesofago na doenc de Chagas;B57.3+;;
K238;*;;;Transtornos do esôfago em outras doenças classificadas em outra parte;K23.8 Transt do esofago em outr doenc COP;;;
K250;;;;Úlcera gástrica - aguda com hemorragia;K25.0 Aguda c/hemorragia;;;
K251;;;;Úlcera gástrica - aguda com perfuração;K25.1 Aguda c/perfuracao;;;
K252;;;;Úlcera gástrica - aguda com hemorragia e perfuração;K25.2 Aguda c/hemorragia e perfuracao;;;
K253;;;;Úlcera gástrica - aguda sem hemorragia ou perfuração;K25.3 Aguda s/hemorragia ou perfuracao;;;
K254;;;;Úlcera gástrica - crônica ou não especificada com hemorragia;K25.4 Cronica ou NE c/hemorragia;;;
K255;;;;Úlcera gástrica - crônica ou não especificada com perfuração;K25.5 Cronica ou NE c/perfuracao;;;
K256;;;;Úlcera gástrica - crônica ou não especificada com hemorragia e perfuração;K25.6 Cronica ou NE c/hemorragia e perfuracao;;;
K257;;;;Úlcera gástrica - crônica sem hemorragia ou perfuração;K25.7 Cronica s/hemorragia ou perfuracao;;;
K259;;;;Úlcera gástrica - não especificada como aguda ou crônica, sem hemorragia ou perfuração;K25.9 NE como aguda cronica s/hemorragia perfur;;;
K260;;;;Úlcera duodenal - aguda com hemorragia;K26.0 Aguda c/hemorragia;;;
K261;;;;Úlcera duodenal - aguda com perfuração;K26.1 Aguda c/perfuracao;;;
K262;;;;Úlcera duodenal - aguda com hemorragia e perfuração;K26.2 Aguda c/hemorragia e perfuracao;;;
K263;;;;Úlcera duodenal - aguda sem hemorragia ou perfuração;K26.3 Aguda s/hemorragia ou perfuracao;;;
K264;;;;Úlcera duodenal - crônica ou não especificada com hemorragia;K26.4 Cronica ou NE c/hemorragia;;;
K265;;;;Úlcera duodenal - crônica ou não especificada com perfuração;K26.5 Cronica ou NE c/perfuracao;;;
K266;;;;Úlcera duodenal - crônica ou não especificada com hemorragia e perfuração;K26.6 Cronica ou NE c/hemorragia e perfuracao;;;
K267;;;;Úlcera duodenal - crônica sem hemorragia ou perfuração;K26.7 Cronica s/hemorragia ou perfuracao;;;
K269;;;;Úlcera duodenal - não especificada como aguda ou crônica, sem hemorragia ou perfuração;K26.9 NE como aguda cronica s/hemorragia perfur;;;
