CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
H35;;Outros transtornos da retina;H35   Outr transt da retina;;;
H36;*;Transtornos da retina em doenças classificadas em outra parte;H36   Transt da retina em doenc COP;;;
H40;;Glaucoma;H40   Glaucoma;;;
H42;*;Glaucoma em doenças classificadas em outra parte;H42   Glaucoma em doenc COP;;;
H43;;Transtornos do humor vítreo;H43   Transt do humor vitreo;;;
H44;;Transtornos do globo ocular;H44   Transt do globo ocular;;;
H45;*;Transtornos do humor vítreo e do globo ocular em doenças classificadas em outra parte;H45   Transt humor vitreo e globo ocular doenc COP;;;
H46;;Neurite óptica;H46   Neurite optica;;;
H47;;Outros transtornos do nervo óptico e das vias ópticas;H47   Outr transt do nervo optico e vias opticas;;;
H48;*;Transtornos do nervo óptico [segundo par] e das vias ópticas em doenças classificadas em outra parte;H48   Transt nervo optico e vias opticas doenc COP;;;
H49;;Estrabismo paralítico;H49   Estrabismo paralitico;;;
H50;;Outros estrabismos;H50   Outr estrabismos;;;
H51;;Outros transtornos do movimento binocular;H51   Outr transt do movimento binocular;;;
H52;;Transtornos da refração e da acomodação;H52   Transt da refracao e da acomodacao;;;
H53;;Distúrbios visuais;H53   Disturbios visuais;;;
H54;;Cegueira e visão subnormal;H54   Cegueira e visao subnormal;;;
H55;;Nistagmo e outros movimentos irregulares do olho;H55   Nistagmo e outr movimentos irregulares olho;;;
H57;;Outros transtornos do olho e anexos;H57   Outr transt do olho e anexos;;;
H58;*;Outros transtornos do olho e anexos em doenças classificadas em outra parte;H58   Outr transt do olho e anexos em doenc COP;;;
H59;;Transtornos do olho e anexos pós-procedimento não classificados em outra parte;H59   Transt do olho e anexos pos-proced NCOP;;;
H60;;Otite externa;H60   Otite externa;;;
H61;;Outros transtornos do ouvido externo;H61   Outr transt do ouvido externo;;;
H62;*;Transtornos do ouvido externo em doenças classificadas em outra parte;H62   Transt do ouvido externo em doenc COP;;;
H65;;Otite média não-supurativa;H65   Otite media nao-supurativa;;;
H66;;Otite média supurativa e as não especificadas;H66   Otite media supurativa e as NE;;;
H67;*;Otite média em doenças classificadas em outra parte;H67   Otite media em doenc COP;;;
H68;;Salpingite e obstrução da trompa de Eustáquio;H68   Salpingite e obstrucao trompa de Eustaquio;;;
H69;;Outros transtornos da trompa de Eustáquio;H69   Outr transt da trompa de Eustaquio;;;
H70;;Mastoidite e afecções correlatas;H70   Mastoidite e afeccoes correlatas;;;
H71;;Colesteatoma do ouvido médio;H71   Colesteatoma do ouvido medio;;;
H72;;Perfuração da membrana do tímpano;H72   Perfuracao da membrana do timpano;;;
H73;;Outros transtornos da membrana do tímpano;H73   Outr transt da membrana do timpano;;;
H74;;Outros transtornos do ouvido médio e da mastóide;H74   Outr transt do ouvido medio e da mastoide;;;
H75;*;Outros transtornos do ouvido médio e da mastóide em doenças classificadas em outra parte;H75   Outr transt ouvido medio mastoide doenc COP;;;
H80;;Otosclerose;H80   Otosclerose;;;
H81;;Transtornos da função vestibular;H81   Transt da funcao vestibular;;;
H82;*;Síndromes vertiginosas em doenças classificadas em outra parte;H82   Sindr vertiginosas em doenc COP;;;
H83;;Outros transtornos do ouvido interno;H83   Outr transt do ouvido interno;;;
H90;;Perda de audição por transtorno de condução e/ou neuro-sensorial;H90   Perda audicao transt conducao neuro-sens;;;
H91;;Outras perdas de audição;H91   Outr perdas de audicao;;;
H92;;Otalgia e secreção auditiva;H92   Otalgia e secrecao auditiva;;;
H93;;Outros transtornos do ouvido não classificados em outra parte;H93   Outr transt do ouvido NCOP;;;
H94;*;Outros transtornos do ouvido em doenças classificadas em outra parte;H94   Outr transt do ouvido em doenc COP;;;
H95;;Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte;H95   Transt ouvido apof mastoide pos-proced NCOP;;;
I00;;Febre reumática sem menção de comprometimento do coração;I00   Febre reumatica s/mencao de compr do coracao;;;
I01;;Febre reumática com comprometimento do coração;I01   Febre reumatica c/compr do coracao;;;
I02;;Coréia reumática;I02   Coreia reumatica;;;
I05;;Doenças reumáticas da valva mitral;I05   Doenc reumaticas da valva mitral;;;
I06;;Doenças reumáticas da valva aórtica;I06   Doenc reumaticas da valva aortica;;;
I07;;Doenças reumáticas da valva tricúspide;I07   Doenc reumaticas da valva tricuspide;;;
I08;;Doenças de múltiplas valvas;I08   Doenc de mult valvas;;;
I09;;Outras doenças reumáticas do coração;I09   Outr doenc reumaticas do coracao;;;
I10;;Hipertensão essencial (primária);I10   Hipertensao essencial;;;
I11;;Doença cardíaca hipertensiva;I11   Doenc cardiaca hipertensiva;;;
I12;;Doença renal hipertensiva;I12   Doenc renal hipertensiva;;;
I13;;Doença cardíaca e renal hipertensiva;I13   Doenc cardiaca e renal hipertensiva;;;
I15;;Hipertensão secundária;I15   Hipertensao secund;;;
I20;;Angina pectoris;I20   Angina pectoris;;;
I21;;Infarto agudo do miocárdio;I21   Infarto agudo do miocardio;;;
I22;;Infarto do miocárdio recorrente;I22   Infarto do miocardio recorrente;;;
I23;;Algumas complicações atuais subseqüentes ao infarto agudo do miocárdio;I23   Alg complic atuais subs infarto agud miocard;;;
I24;;Outras doenças isquêmicas agudas do coração;I24   Outr doenc isquemicas agudas do coracao;;;
I25;;Doença isquêmica crônica do coração;I25   Doenc isquemica cronica do coracao;;;
I26;;Embolia pulmonar;I26   Embolia pulmonar;;;
I27;;Outras formas de doença cardíaca pulmonar;I27   Outr form de doenc cardiaca pulmonar;;;
I28;;Outras doenças dos vasos pulmonares;I28   Outr doenc dos vasos pulmonares;;;
I30;;Pericardite aguda;I30   Pericardite aguda;;;
I31;;Outras doenças do pericárdio;I31   Outr doenc do pericardio;;;
I32;*;Pericardite em doenças classificadas em outra parte;I32   Pericardite em doenc COP;;;
I33;;Endocardite aguda e subaguda;I33   Endocardite aguda e subaguda;;;
I34;;Transtornos não-reumáticos da valva mitral;I34   Transt nao-reumaticos da valva mitral;;;
I35;;Transtornos não-reumáticos da valva aórtica;I35   Transt nao-reumaticos da valva aortica;;;
I36;;Transtornos não-reumáticos da valva tricúspide;I36   Transt nao-reumaticos da valva tricuspide;;;
I37;;Transtornos da valva pulmonar;I37   Transt da valva pulmonar;;;
I38;;Endocardite de valva não especificada;I38   Endocardite de valva NE;;;
I39;*;Endocardite e transtornos valvulares cardíacos em doenças classificadas em outra parte;I39   Endocardite transt valvulares card doenc COP;;;
I40;;Miocardite aguda;I40   Miocardite aguda;;;
I41;*;Miocardite em doenças classificadas em outra parte;I41   Miocardite em doenc COP;;;
I42;;Cardiomiopatias;I42   Cardiomiopatias;;;
I43;*;Cardiomiopatia em doenças classificadas em outra parte;I43   Cardiomiopatia em doenc COP;;;
I44;;Bloqueio atrioventricular e do ramo esquerdo;I44   Bloqueio atrioventricular e do ramo esquerdo;;;
I45;;Outros transtornos de condução;I45   Outr transt de conducao;;;
I46;;Parada cardíaca;I46   Parada cardiaca;;;
I47;;Taquicardia paroxística;I47   Taquicardia paroxistica;;;
I48;;"Flutter" e fibrilação atrial;I48   Flutter e fibrilacao atrial;;;
I49;;Outras arritmias cardíacas;I49   Outr arritmias cardiacas;;;
I50;;Insuficiência cardíaca;I50   Insuf cardiaca;;;
I51;;Complicações de cardiopatias e doenças cardíacas mal definidas;I51   Complic cardiopatias doenc cardiacas mal def;;;
I52;*;Outras afecções cardíacas em doenças classificadas em outra parte;I52   Outr afeccoes cardiacas em doenc COP;;;
I60;;Hemorragia subaracnóide;I60   Hemorragia subaracnoide;;;
I61;;Hemorragia intracerebral;I61   Hemorragia intracerebral;;;
I62;;Outras hemorragias intracranianas não-traumáticas;I62   Outr hemorragias intracranianas nao-traum;;;
I63;;Infarto cerebral;I63   Infarto cerebral;;;
I64;;Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico;I64   Acid vasc cerebr NE como hemorrag isquemico;;;
I65;;Oclusão e estenose de artérias pré-cerebrais que não resultam em infarto cerebral;I65   Oclus/esten art pre-cereb q n res inf cereb;;;
I66;;Oclusão e estenose de artérias cerebrais que não resultam em infarto cerebral;I66   Oclusao/estenose art cereb q n res inf cereb;;;
I67;;Outras doenças cerebrovasculares;I67   Outr doenc cerebrovasculares;;;
I68;*;Transtornos cerebrovasculares em doenças classificadas em outra parte;I68   Transt cerebrovasculares em doenc COP;;;
I69;;Seqüelas de doenças cerebrovasculares;I69   Sequelas de doenc cerebrovasculares;;;
I70;;Aterosclerose;I70   Aterosclerose;;;
I71;;Aneurisma e dissecção da aorta;I71   Aneurisma e disseccao da aorta;;;
I72;;Outros aneurismas;I72   Outr aneurismas;;;
I73;;Outras doenças vasculares periféricas;I73   Outr doenc vasculares perifericas;;;
I74;;Embolia e trombose arteriais;I74   Embolia e trombose arteriais;;;
I77;;Outras afecções das artérias e arteríolas;I77   Outr afeccoes das arterias e arteriolas;;;
I78;;Doenças dos capilares;I78   Doenc dos capilares;;;
I79;*;Transtornos das artérias, das arteríolas e dos capilares em doenças classificadas em outra parte;I79   Transt arter arteriolas capilares doenc COP;;;
I80;;Flebite e tromboflebite;I80   Flebite e tromboflebite;;;
I81;;Trombose da veia porta;I81   Trombose da veia porta;;;
I82;;Outra embolia e trombose venosas;I82   Outr embolia e trombose venosas;;;
I83;;Varizes dos membros inferiores;I83   Varizes dos membros infer;;;
I84;;Hemorróidas;I84   Hemorroidas;;;
I85;;Varizes esofagianas;I85   Varizes esofagianas;;;
I86;;Varizes de outras localizações;I86   Varizes de outr localiz;;;
I87;;Outros transtornos das veias;I87   Outr transt das veias;;;
I88;;Linfadenite inespecífica;I88   Linfadenite inespecifica;;;
I89;;Outros transtornos não-infecciosos dos vasos linfáticos e dos gânglios linfáticos;I89   Outr transt nao-infecc vasos linf gangl linf;;;
I95;;Hipotensão;I95   Hipotensao;;;
I97;;Transtornos do aparelho circulatório, subseqüentes a procedimentos não classificados em outra parte;I97   Transt aparelho circulat subseq proced NCOP;;;
I98;*;Outros transtornos do aparelho circulatório em doenças classificadas em outra parte;I98   Outr transt aparelho circulatorio doenc COP;;;
I99;;Outros transtornos do aparelho circulatório e os não especificados;I99   Outr transt do aparelho circulatorio e os NE;;;
J00;;Nasofaringite aguda [resfriado comum];J00   Nasofaringite aguda;;;
J01;;Sinusite aguda;J01   Sinusite aguda;;;
J02;;Faringite aguda;J02   Faringite aguda;;;
J03;;Amigdalite aguda;J03   Amigdalite aguda;;;
J04;;Laringite e traqueíte agudas;J04   Laringite e traqueite agudas;;;
J05;;Laringite obstrutiva aguda [crupe] e epiglotite;J05   Laringite obstrutiva aguda e epiglotite;;;
J06;;Infecções agudas das vias aéreas superiores de localizações múltiplas e não especificadas;J06   Infecc agudas vias aereas super loc mult NE;;;
J09;;Influenza [gripe] devida a vírus identificado da gripe aviária;J09   Influenza dev virus gripe aviária;;;
J10;;Influenza devida a outro vírus da influenza [gripe] identificado;J10   Influenza dev outro virus influenza ident;;;
J11;;Influenza [gripe] devida a vírus não identificado;J11   Influenza dev virus nao identificado;;;
J12;;Pneumonia viral não classificada em outra parte;J12   Pneumonia viral NCOP;;;
J13;;Pneumonia devida a Streptococcus pneumoniae;J13   Pneumonia dev Streptococcus pneumoniae;;;
J14;;Pneumonia devida a Haemophilus infuenzae;J14   Pneumonia dev Haemophilus infuenzae;;;
J15;;Pneumonia bacteriana não classificada em outra parte;J15   Pneumonia bacter NCOP;;;
J16;;Pneumonia devida a outros microorganismos infecciosos especificados não classificados em outra parte;J16   Pneumonia dev out microorg infecc espec NCOP;;;
J17;*;Pneumonia em doenças classificadas em outra parte;J17   Pneumonia em doenc COP;;;
J18;;Pneumonia por microorganismo não especificada;J18   Pneumonia p/microorg NE;;;
J20;;Bronquite aguda;J20   Bronquite aguda;;;
J21;;Bronquiolite aguda;J21   Bronquiolite aguda;;;
J22;;Infecções agudas não especificada das vias aéreas inferiores;J22   Infecc agudas NE das vias aereas infer;;;
J30;;Rinite alérgica e vasomotora;J30   Rinite alergica e vasomotora;;;
J31;;Rinite, nasofaringite e faringite crônicas;J31   Rinite nasofaringite e faringite cronicas;;;
J32;;Sinusite crônica;J32   Sinusite cronica;;;
J33;;Pólipo nasal;J33   Polipo nasal;;;
J34;;Outros transtornos do nariz e dos seios paranasais;J34   Outr transt do nariz e dos seios paranasais;;;
J35;;Doenças crônicas das amígdalas e das adenóides;J35   Doenc cronicas das amigdalas e das adenoides;;;
J36;;Abscesso periamigdaliano;J36   Abscesso periamigdaliano;;;
J37;;Laringite e laringotraqueíte crônicas;J37   Laringite e laringotraqueite cronicas;;;
J38;;Doenças das cordas vocais e da laringe não classificadas em outra parte;J38   Doenc das cordas vocais e da laringe NCOP;;;
J39;;Outras doenças das vias aéreas superiores;J39   Outr doenc das vias aereas super;;;
J40;;Bronquite não especificada como aguda ou crônica;J40   Bronquite NE como aguda ou cronica;;;
J41;;Bronquite crônica simples e a mucopurulenta;J41   Bronquite cronica simples e a mucopurulenta;;;
J42;;Bronquite crônica não especificada;J42   Bronquite cronica NE;;;
J43;;Enfisema;J43   Enfisema;;;
J44;;Outras doenças pulmonares obstrutivas crônicas;J44   Outr doenc pulmonares obstrutivas cronicas;;;
J45;;Asma;J45   Asma;;;
J46;;Estado de mal asmático;J46   Estado de mal asmatico;;;
J47;;Bronquectasia;J47   Bronquectasia;;;
J60;;Pneumoconiose dos mineiros de carvão;J60   Pneumoconiose dos mineiros de carvao;;;
J61;;Pneumoconiose devida a amianto [asbesto] e outras fibras minerais;J61   Pneumoconiose dev amianto outr fibr minerais;;;
J62;;Pneumoconiose devida a poeira que contenham sílica;J62   Pneumoconiose dev poeira que cont silica;;;
J63;;Pneumoconiose devida a outras poeiras inorgânicas;J63   Pneumoconiose dev outr poeiras inorganicas;;;
J64;;Pneumoconiose não especificada;J64   Pneumoconiose NE;;;
J65;;Pneumoconiose associada com tuberculose;J65   Pneumoconiose assoc c/tuberc;;;
J66;;Doenças das vias aéreas devida a poeiras orgânicas específicas;J66   Doenc das vias aereas dev poeiras org espec;;;
J67;;Pneumonite de hipersensibilidade devida a poeiras orgânicas;J67   Pneumonite hipersensibilid dev poeiras org;;;
J68;;Afecções respiratórias devidas a inalação de produtos químicos, gases, fumaças e vapores;J68   Afecc resp dev inal prod quim gas fumac vap;;;
J69;;Pneumonite devida a sólidos e líquidos;J69   Pneumonite dev solidos e liquidos;;;
J70;;Afecções respiratórias devida a outros agentes externos;J70   Afeccoes respirat dev outr agentes externos;;;
J80;;Síndrome do desconforto respiratório do adulto;J80   Sindr do desconforto respirat do adulto;;;
J81;;Edema pulmonar, não especificado de outra forma;J81   Edema pulmonar NE de outr form;;;
J82;;Eosinofilia pulmonar, não classificada em outra parte;J82   Eosinofilia pulmonar NCOP;;;
J84;;Outras doenças pulmonares intersticiais;J84   Outr doenc pulmonares intersticiais;;;
J85;;Abscesso do pulmão e do mediastino;J85   Abscesso do pulmao e do mediastino;;;
J86;;Piotórax;J86   Piotorax;;;
J90;;Derrame pleural não classificado em outra parte;J90   Derrame pleural NCOP;;;
J91;*;Derrame pleural em afecções classificadas em outra parte;J91   Derrame pleural em afeccoes COP;;;
J92;;Placas pleurais;J92   Placas pleurais;;;
J93;;Pneumotórax;J93   Pneumotorax;;;
J94;;Outras afecções pleurais;J94   Outr afeccoes pleurais;;;
J95;;Afecções respiratórias pós-procedimentos não classificadas em outra parte;J95   Afeccoes respirat pos-proced NCOP;;;
J96;;Insuficiência respiratória não classificada de outra parte;J96   Insuf respirat NCOP;;;
J98;;Outros transtornos respiratórios;J98   Outr transt respirat;;;
J99;*;Transtornos respiratórios em doenças classificadas em outra parte;J99   Transt respirat em doenc COP;;;
K00;;Distúrbios do desenvolvimento e da erupção dos dentes;K00   Disturbios desenvolv e da erupcao dos dentes;;;
K01;;Dentes inclusos e impactados;K01   Dentes inclusos e impactados;;;
K02;;Cárie dentária;K02   Carie dentaria;;;
K03;;Outras doenças dos tecidos dentários duros;K03   Outr doenc dos tec dentarios duros;;;
K04;;Doenças da polpa e dos tecidos periapicais;K04   Doenc da polpa e dos tec periapicais;;;
K05;;Gengivite e doenças periodontais;K05   Gengivite e doenc periodontais;;;
K06;;Outros transtornos da gengiva e do rebordo alveolar sem dentes;K06   Outr transt gengiva rebordo alveolar s/dent;;;
K07;;Anomalias dentofaciais (inclusive a maloclusão);K07   Anomalias dentofaciais;;;
K08;;Outros transtornos dos dentes e de suas estruturas de sustentação;K08   Outr transt dentes e estrut de sustentacao;;;
K09;;Cistos da região bucal não classificados em outra parte;K09   Cistos da regiao bucal NCOP;;;
K10;;Outras doenças dos maxilares;K10   Outr doenc dos maxilares;;;
K11;;Doenças das glândulas salivares;K11   Doenc das gland salivares;;;
K12;;Estomatite e lesões correlatas;K12   Estomatite e lesoes correlatas;;;
K13;;Outras doenças do lábio e da mucosa oral;K13   Outr doenc do labio e da mucosa oral;;;
K14;;Doenças da língua;K14   Doenc da lingua;;;
K20;;Esofagite;K20   Esofagite;;;
K21;;Doença de refluxo gastroesofágico;K21   Doenc de refluxo gastroesofagico;;;
K22;;Outras doenças do esôfago;K22   Outr doenc do esofago;;;
K23;*;Transtornos do esôfago em doenças classificadas em outra parte;K23   Transt do esofago em doenc COP;;;
K25;;Úlcera gástrica;K25   Ulcera gastrica;;;
K26;;Úlcera duodenal;K26   Ulcera duodenal;;;
K27;;Úlcera péptica de localização não especificada;K27   Ulcera peptica de localiz NE;;;
K28;;Úlcera gastrojejunal;K28   Ulcera gastrojejunal;;;
K29;;Gastrite e duodenite;K29   Gastrite e duodenite;;;
K30;;Dispepsia;K30   Dispepsia;;;
K31;;Outras doenças do estômago e do duodeno;K31   Outr doenc do estomago e do duodeno;;;
K35;;Apendicite aguda;K35   Apendicite aguda;;;
K36;;Outras formas de apendicite;K36   Outr form de apendicite;;;
K37;;Apendicite, sem outras especificações;K37   Apendicite SOE;;;
K38;;Outras doenças do apêndice;K38   Outr doenc do apendice;;;
K40;;Hérnia inguinal;K40   Hernia inguinal;;;
K41;;Hérnia femoral;K41   Hernia femoral;;;
K42;;Hérnia umbilical;K42   Hernia umbilical;;;
K43;;Hérnia ventral;K43   Hernia ventral;;;
K44;;Hérnia diafragmática;K44   Hernia diafragmatica;;;
K45;;Outras hérnias abdominais;K45   Outr hernias abdominais;;;
K46;;Hérnia abdominal não especificada;K46   Hernia abdominal NE;;;
K50;;Doença de Crohn [enterite regional];K50   Doenc de Crohn;;;
K51;;Colite ulcerativa;K51   Colite ulcerativa;;;
K52;;Outras gastroenterites e colites não-infecciosas;K52   Outr gastroenterites e colites nao-infecc;;;
K55;;Transtornos vasculares do intestino;K55   Transt vasculares do intestino;;;
K56;;Íleo paralítico e obstrução intestinal sem hérnia;K56   Ileo paralitico e obstr intestinal s/hernia;;;
K57;;Doença diverticular do intestino;K57   Doenc diverticular do intestino;;;
K58;;Síndrome do cólon irritável;K58   Sindr do colon irritavel;;;
K59;;Outros transtornos funcionais do intestino;K59   Outr transt funcionais do intestino;;;
K60;;Fissura e fístula das regiões anal e retal;K60   Fissura e fistula das regioes anal e retal;;;
K61;;Abscesso das regiões anal e retal;K61   Abscesso das regioes anal e retal;;;
K62;;Outras doenças do reto e do ânus;K62   Outr doenc do reto e do anus;;;
K63;;Outras doenças do intestino;K63   Outr doenc do intestino;;;
K65;;Peritonite;K65   Peritonite;;;
K66;;Outros transtornos do peritônio;K66   Outr transt do peritonio;;;
K67;*;Comprometimento do peritônio, em doenças infecciosas classificadas em outra parte;K67   Compr do peritonio em doenc infecc COP;;;
K70;;Doença alcoólica do fígado;K70   Doenc alcoolica do figado;;;
K71;;Doença hepática tóxica;K71   Doenc hepatica toxica;;;
K72;;Insuficiência hepática não classificada em outra parte;K72   Insuf hepatica NCOP;;;
K73;;Hepatite crônica não classificada em outra parte;K73   Hepatite cronica NCOP;;;
K74;;Fibrose e cirrose hepáticas;K74   Fibrose e cirrose hepaticas;;;
K75;;Outras doenças inflamatórias do fígado;K75   Outr doenc inflam do figado;;;
K76;;Outras doenças do fígado;K76   Outr doenc do figado;;;
K77;*;Transtornos do fígado em doenças classificadas em outra parte;K77   Transt do figado em doenc COP;;;
K80;;Colelitíase;K80   Colelitiase;;;
K81;;Colecistite;K81   Colecistite;;;
K82;;Outras doenças da vesícula biliar;K82   Outr doenc da vesicula biliar;;;
K83;;Outras doenças das vias biliares;K83   Outr doenc das vias biliares;;;
K85;;Pancreatite aguda;K85   Pancreatite aguda;;;
K86;;Outras doenças do pâncreas;K86   Outr doenc do pancreas;;;
K87;*;Transtornos da vesícula biliar, das vias biliares e do pâncreas em doenças classificadas em outra parte;K87   Transt ves biliar via biliar pancr doenc COP;;;
K90;;Má-absorção intestinal;K90   Ma-absorcao intestinal;;;
K91;;Transtornos do aparelho digestivo pós-procedimentos, não classificados em outra parte;K91   Transt do aparelho digestivo pos-proced NCOP;;;
K92;;Outras doenças do aparelho digestivo;K92   Outr doenc do aparelho digestivo;;;
K93;*;Transtornos de outros órgãos digestivos em doenças classificadas em outra parte;K93   Transt de outr orgaos digestivos doenc COP;;;
L00;;Síndrome da pele escaldada estafilocócica do recém-nascido;L00   Sindr pele escaldada estafilococ recem-nasc;;;
L01;;Impetigo;L01   Impetigo;;;
L02;;Abscesso cutâneo, furúnculo e antraz;L02   Abscesso cutaneo furunculo e antraz;;;
L03;;Celulite (Flegmão);L03   Celulite;;;
L04;;Linfadenite aguda;L04   Linfadenite aguda;;;
L05;;Cisto pilonidal;L05   Cisto pilonidal;;;
L08;;Outras infecções localizadas da pele e do tecido subcutâneo;L08   Outr infecc localiz pele e tec subcutaneo;;;
L10;;Pênfigo;L10   Penfigo;;;
L11;;Outras afecções acantolíticas;L11   Outr afeccoes acantoliticas;;;
L12;;Penfigóide;L12   Penfigoide;;;
L13;;Outras afecções bolhosas;L13   Outr afeccoes bolhosas;;;
L14;*;Afecções bolhosas em doenças classificadas em outra parte;L14   Afeccoes bolhosas em doenc COP;;;
L20;;Dermatite atópica;L20   Dermatite atopica;;;
L21;;Dermatite seborréica;L21   Dermatite seborreica;;;
L22;;Dermatite das fraldas;L22   Dermatite das fraldas;;;
L23;;Dermatites alérgicas de contato;L23   Dermatites alergicas de contato;;;
L24;;Dermatites de contato por irritantes;L24   Dermatites de contato p/irritantes;;;
L25;;Dermatite de contato não especificada;L25   Dermatite de contato NE;;;
L26;;Dermatite esfoliativa;L26   Dermatite esfoliativa;;;
L27;;Dermatite devida a substâncias de uso interno;L27   Dermatite dev subst de uso interno;;;
L28;;Líquen simples crônico e prurigo;L28   Liquen simples cronico e prurigo;;;
L29;;Prurido;L29   Prurido;;;
L30;;Outras dermatites;L30   Outr dermatites;;;
L40;;Psoríase;L40   Psoriase;;;
L41;;Parapsoríase;L41   Parapsoriase;;;
L42;;Pitiríase rósea;L42   Pitiriase rosea;;;
L43;;Líquen plano;L43   Liquen plano;;;
L44;;Outras afecções pápulo-descamativas;L44   Outr afeccoes papulo-descamativas;;;
L45;*;Afecções pápulo-descamativas em doenças classificadas em outra parte;L45   Afeccoes papulo-descamativas em doenc COP;;;
L50;;Urticária;L50   Urticaria;;;
L51;;Eritema polimorfo (eritema multiforme);L51   Eritema polimorfo;;;
L52;;Eritema nodoso;L52   Eritema nodoso;;;
L53;;Outras afecções eritematosas;L53   Outr afeccoes eritematosas;;;
L54;*;Eritema em doenças classificadas em outra parte;L54   Eritema em doenc COP;;;
L55;;Queimadura solar;L55   Queim solar;;;
L56;;Outras alterações agudas da pele devidas a radiação ultravioleta;L56   Outr alterac agud pele dev rad ultravioleta;;;
L57;;Alterações da pele devidas à exposição crônica à radiação não ionizante;L57   Alter pele dev expos cron rad nao ionizante;;;
L58;;Radiodermatite;L58   Radiodermatite;;;
L59;;Outras afecções da pele e do tecido subcutâneo relacionadas com a radiação;L59   Outr afecc pele tec subcutan relac radiacao;;;
L60;;Afecções das unhas;L60   Afeccoes das unhas;;;
L62;*;Afecções das unhas em doenças classificadas em outra parte;L62   Afeccoes das unhas em doenc COP;;;
L63;;Alopécia areata;L63   Alopecia areata;;;
L64;;Alopécia androgênica;L64   Alopecia androgenica;;;
L65;;Outras formas não cicatriciais da perda de cabelos ou pêlos;L65   Outr form nao cicatric perda cabelos pelos;;;
L66;;Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial];L66   Alopecia cicatricial;;;
L67;;Anormalidades da cor e do pedículo dos cabelos e dos pêlos;L67   Anormalidades cor e pediculo cabelos pelos;;;
L68;;Hipertricose;L68   Hipertricose;;;
L70;;Acne;L70   Acne;;;
L71;;Rosácea;L71   Rosacea;;;
L72;;Cistos foliculares da pele e do tecido subcutâneo;L72   Cistos foliculares da pele e tec subcutaneo;;;
L73;;Outras afecções foliculares;L73   Outr afeccoes foliculares;;;
L74;;Afecções das glândulas sudoríparas écrinas;L74   Afeccoes das gland sudoriparas ecrinas;;;
L75;;Afecções das glândulas sudoríparas apócrinas;L75   Afeccoes das gland sudoriparas apocrinas;;;
L80;;Vitiligo;L80   Vitiligo;;;
L81;;Outros transtornos da pigmentação;L81   Outr transt da pigmentacao;;;
L82;;Ceratose seborréica;L82   Ceratose seborreica;;;
L83;;Acantose nigricans;L83   Acantose nigricans;;;
L84;;Calos e calosidades;L84   Calos e calosidades;;;
L85;;Outras formas de espessamento epidérmico;L85   Outr form de espessamento epidermico;;;
L86;*;Ceratodermia em doenças classificadas em outra parte;L86   Ceratodermia em doenc COP;;;
L87;;Transtornos da eliminação transepidérmica;L87   Transt da eliminacao transepidermica;;;
L88;;Piodermite gangrenosa;L88   Piodermite gangrenosa;;;
L89;;Úlcera de decúbito;L89   Ulcera de decubito;;;
L90;;Afecções atróficas da pele;L90   Afeccoes atroficas da pele;;;
L91;;Afecções hipertróficas da pele;L91   Afeccoes hipertroficas da pele;;;
L92;;Afecções granulomatosas da pele e do tecido subcutâneo;L92   Afeccoes granulomatosas pele tec subcutaneo;;;
L93;;Lúpus eritematoso;L93   Lupus eritematoso;;;
L94;;Outras afecções localizadas do tecido conjuntivo;L94   Outr afeccoes localizadas do tec conjuntivo;;;
L95;;Vasculite limitada a pele não classificadas em outra parte;L95   Vasculite limitada a pele NCOP;;;
L97;;Úlcera dos membros inferiores não classificada em outra parte;L97   Ulcera dos membros infer NCOP;;;
L98;;Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte;L98   Outr afeccoes da pele e tec subcutaneo NCOP;;;
L99;*;Outras afecções da pele e do tecido subcutâneo em doenças classificadas em outra parte;L99   Outr afeccoes pele tec subcutaneo doenc COP;;;
M00;;Artrite piogênica;M00   Artrite piogenica;;;
M01;*;Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte;M01   Infecc diretas artic doenc infec parasit COP;;;
M02;;Artropatias reacionais;M02   Artropatias reacionais;;;
M03;*;Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte;M03   Artropatias pos-infecc reac doenc infecc COP;;;
M05;;Artrite reumatóide soro-positiva;M05   Artrite reumatoide soro-positiva;;;
M06;;Outras artrites reumatóides;M06   Outr artrites reumatoides;;;
M07;*;Artropatias psoriásicas e enteropáticas;M07   Artropatias psoriasicas e enteropaticas;;;
M08;;Artrite juvenil;M08   Artrite juvenil;;;
M09;*;Artrite juvenil em doenças classificadas em outra parte;M09   Artrite juvenil em doenc COP;;;
M10;;Gota;M10   Gota;;;
M11;;Outras artropatias por deposição de cristais;M11   Outr artropatias p/deposicao de cristais;;;
M12;;Outras artropatias especificadas;M12   Outr artropatias espec;;;
M13;;Outras artrites;M13   Outr artrites;;;
M14;*;Artropatias em outras doenças classificadas em outra parte;M14   Artropatias em outr doenc COP;;;
M15;;Poliartrose;M15   Poliartrose;;;
M16;;Coxartrose [artrose do quadril];M16   Coxartrose;;;
M17;;Gonartrose [artrose do joelho];M17   Gonartrose;;;
